"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2016-11",,"0","0","9","9","30",,"0","19","9","0","0","3","19",,"0.30","57","3125","1008","1.59",,"31.4","38.6","24.2",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2016-12",,"0","0","15","15","31",,"9","31","31","0","0","-23","35",,"0.40","31","4808","1683","2.99",,"10.7","18.9","2.4",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2017-01",,"0","0","11","11","31",,"7","31","24","0","0","-18","52",,"0.90","46","6332","1524","2.69",,"15.8","24.0","7.7",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2017-02",,"0","0","8","8","28",,"5","28","14","0","0","-7","57",,"0.50","48","7573","1240","2.10",,"20.7","28.6","12.8",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2017-03",,"0","0","13","13","31",,"0","28","7","0","0","3","66",,"0.60","51","8652","1079","4.30",,"30.2","38.1","22.3",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2017-04",,"0","0","17","17","30",,"0","28","4","0","0","11","70",,"0.40","55","9681","1029","3.90",,"30.7","39.8","21.5",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2017-05",,"0","0","19","19","31",,"0","21","1","0","0","22","69",,"0.30","68","10460","778","2.78",,"39.9","49.8","30.0",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2017-06",,"0","0","11","11","9",,"0","2","0","0","0","29","32",,"0.40","70","10962","502","2.00",,"48.3","58.1","38.5",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2017-07",,"0","0","12","12","0",,"0","0","0","13","0","42","0",,"0.60","74","193","193","2.69",,"58.8","68.5","49.0",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2017-08",,"0","0","9","9","0",,"0","0","0","3","0","38","0",,"1.10","72","558","365","2.79",,"53.2","62.0","44.5",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2017-09",,"0","0","11","11","11",,"0","12","0","0","0","24","4",,"0.90","69","1173","615","4.00",,"44.5","52.5","36.5",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2017-10",,"0","0","7","7","31",,"0","26","7","0","0","6","10",,"0.50","56","2204","1031","1.80",,"31.7","40.3","23.2",,,,
